,Unnamed: 0,type,id,author,editor,advisor,note,title,pages,article_no,num_pages,keywords,doi,journal,issue_date,volume,issue_no,description,month,year,issn,booktitle,acronym,edition,isbn,conf_loc,publisher,publisher_loc,keyword
21,61,article,2500364,Piotr  Chyna&#322;,,,,Testing Strategies for Evaluation of User Interfaces in SOA-based Systems,22:1--22:8,22.0,8.0,"HCI, SOA, usability, user interface",10.1145/2500342.2500364,,,,,,,2013.0,,"Proceedings of the International Conference on Multimedia, Interaction, Design and Innovation",MIDI '13,,978-1-4503-2303-1,"Warsaw, Poland",ACM,"New York, NY, USA",computing usability education
22,63,article,2817327,Maury Elizabeth Brown and Daniel L. Hocutt,,,,"Learning to Use, Useful for Learning: A Usability Study of Google Apps for Education",160--181,,22.0,"Google apps for education, cloud-computing, first-year composition, instructional technology, networked learning communities, student motivation, usability testing",,J. Usability Studies,August 2015,10,4,,August,2015.0,1931-3357,,,,,,Usability Professionals' Association,"Bloomingdale, IL",computing usability education
23,64,article,2414537,Elin  Abdul Rahim and Andreas  Duenser and Mark  Billinghurst and Alfred  Herritsch and Keith  Unsworth and Alan  Mckinnon and Peter  Gostomski,,,,A Desktop Virtual Reality Application for Chemical and Process Engineering Education,1--8,,8.0,"educational software, engineering, evaluation, usability, virtual reality",10.1145/2414536.2414537,,,,,,,2012.0,,Proceedings of the 24th Australian Computer-Human Interaction Conference,OzCHI '12,,978-1-4503-1438-1,"Melbourne, Australia",ACM,"New York, NY, USA",computing usability education
25,67,article,3121219,Michelle  Trim,,,,Increasing Ethical Awareness in [Future] Software Developers Using Audience-based Writing,30:1--30:5,30.0,5.0,"computer science education, ethics, technical communication, usability, writing",10.1145/3121113.3121219,,,,,,,2017.0,,Proceedings of the 35th ACM International Conference on the Design of Communication,SIGDOC '17,,978-1-4503-5160-7,"Halifax, Nova Scotia, Canada",ACM,"New York, NY, USA",computing usability education
26,69,article,1273688,  Simon,,,,Mandatory Fields: A Case Study in the Divergence Between Education and Practice,133--139,,7.0,"data integrity, mandatory fields, names, usability",,,,,,,,2007.0,,Proceedings of the Ninth Australasian Conference on Computing Education - Volume 66,ACE '07,,1-920-68246-5,"Ballarat, Victoria, Australia","Australian Computer Society, Inc.","Darlinghurst, Australia, Australia",computing usability education
27,70,article,1656110,Wong Seng Yue and Nor Azan Mat Zin,,,,Usability Evaluation for History Educational Games,1019--1025,,7.0,"digital educational game, documentations, history educational game design, usability",10.1145/1655925.1656110,,,,,,,2009.0,,"Proceedings of the 2Nd International Conference on Interaction Sciences: Information Technology, Culture and Human",ICIS '09,,978-1-60558-710-3,"Seoul, Korea",ACM,"New York, NY, USA",computing usability education
28,72,article,2325311,J. &#193;ngel Vel&#225;zquez-Iturbide,,,,"Refinement of an Experimental Approach Tocomputer-based, Active Learning of Greedy Algorithms",46--51,,6.0,"active learning, computer science education, greedy algorithms, misconceptions, usability, visualization",10.1145/2325296.2325311,,,,,,,2012.0,,Proceedings of the 17th ACM Annual Conference on Innovation and Technology in Computer Science Education,ITiCSE '12,,978-1-4503-1246-2,"Haifa, Israel",ACM,"New York, NY, USA",computing usability education
29,73,article,1139095,Ester  Baauw and Mathilde M. Bekker and Panos  Markopoulos,,,,Assessing the Applicability of the Structured Expert Evaluation Method (SEEM) for a Wider Age Group,73--80,,8.0,"SEEM, analytical evaluation methods, children, educational computer games, fun, usability",10.1145/1139073.1139095,,,,,,,2006.0,,Proceedings of the 2006 Conference on Interaction Design and Children,IDC '06,,,"Tampere, Finland",ACM,"New York, NY, USA",computing usability education
30,74,article,1806417,Asmaa  Alsumait and Asma  Al-Osaimi,,,,Usability Heuristics Evaluation for Child e-Learning Applications,425--430,,6.0,"e-learning, human computer interaction, usability evaluation",10.1145/1806338.1806417,,,,,,,2009.0,,Proceedings of the 11th International Conference on Information Integration and Web-based Applications &Amp; Services,iiWAS '09,,978-1-60558-660-1,"Kuala Lumpur, Malaysia",ACM,"New York, NY, USA",computing usability education
31,75,article,3017799,Ashok  Basawapatna and Alexander  Repenning,,,,Employing Retention of Flow to Improve Online Tutorials,63--68,,6.0,"CS ed week, computer science education, cyberlearning, evaluation, flow, hour of code, online education, retention, usability",10.1145/3017680.3017799,,,,,,,2017.0,,Proceedings of the 2017 ACM SIGCSE Technical Symposium on Computer Science Education,SIGCSE '17,,978-1-4503-4698-6,"Seattle, Washington, USA",ACM,"New York, NY, USA",computing usability education
32,78,article,2525308,Rafael R. Wanderley and Rafael  Amaral and Victor  Ximenes and Devendra  Tewari and Sriganesh  Madhvanath and Ramadevi  Vennelakanti,,,,DESI: A Virtual Classroom System for Distance Education: A Design Exploration,388--399,,12.0,"collaboration, distance education, interaction design, multimodal, presence, usability, virtual classroom",10.1145/2525194.2525308,,,,,,,2013.0,,Proceedings of the 11th Asia Pacific Conference on Computer Human Interaction,APCHI '13,,978-1-4503-2253-9,"Bangalore, India",ACM,"New York, NY, USA",computing usability education
33,79,article,778725,Jason  Elliott and Amy  Bruckman,,,,Design of a 3D Interactive Math Learning Environment,64--74,,11.0,"3D, CSCL, constructionism, education applications, math learning, online communities, usability",10.1145/778712.778725,,,,,,,2002.0,,"Proceedings of the 4th Conference on Designing Interactive Systems: Processes, Practices, Methods, and Techniques",DIS '02,,1-58113-515-7,"London, England",ACM,"New York, NY, USA",computing usability education
34,83,article,2107568,Rana  Al-Hajri and Salah  Al-Sharhan and Ahmed  Al-Hunaiyyan and Tareq  Alothman,,,,Design of Educational Multimedia Interfaces: Individual Differences of Learners,12:1--12:5,12.0,5.0,"HCI, e-learning, educational multimedia and hypermedia, interface design, usability",10.1145/2107556.2107568,,,,,,,2011.0,,Proceedings of the Second Kuwait Conference on e-Services and e-Systems,KCESS '11,,978-1-4503-0793-2,"Kuwait City, Kuwait",ACM,"New York, NY, USA",computing usability education
35,84,article,3106169,James  Prather and Raymond  Pettit and Kayla Holcomb McMurry and Alani  Peters and John  Homer and Nevan  Simone and Maxine  Cohen,,,,On Novices' Interaction with Compiler Error Messages: A Human Factors Approach,74--82,,9.0,"CS1, HCI, automated assessment tools, education, ethnography, human factors, usability",10.1145/3105726.3106169,,,,,,,2017.0,,Proceedings of the 2017 ACM Conference on International Computing Education Research,ICER '17,,978-1-4503-4968-0,"Tacoma, Washington, USA",ACM,"New York, NY, USA",computing usability education
36,86,article,2019119,Cindy  Poore-Pariseau,,,,Online Learning: Designing for All Users,15:147--15:156,15.0,10.0,"Universal Design for Learning, accommodations, disabilities, disability laws, distance learning, higher education, instructional design, online learning, postsecondary education, usability",,J. Usability Studies,August 2010,5,4,,August,2010.0,1931-3357,,,,,,Usability Professionals' Association,"Bloomingdale, IL",computing usability education
37,87,article,3131105,J.  Vuorio and J.  Okkonen and J.  Viteli,,,,Enhancing User Value of Educational Technology by Three Layer Assessment,220--226,,7.0,"capability maturity model, educational technology, focus group, usability, user experience",10.1145/3131085.3131105,,,,,,,2017.0,,Proceedings of the 21st International Academic Mindtrek Conference,AcademicMindtrek '17,,978-1-4503-5426-4,"Tampere, Finland",ACM,"New York, NY, USA",computing usability education
38,89,article,1357074,Saul  Greenberg and Bill  Buxton,,,,Usability Evaluation Considered Harmful (Some of the Time),111--120,,10.0,"interface critiques, teaching usability, usability testing",10.1145/1357054.1357074,,,,,,,2008.0,,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,CHI '08,,978-1-60558-011-1,"Florence, Italy",ACM,"New York, NY, USA",computing usability education
39,91,article,2442885,Brittany  Fiore-Silfvast and Carl  Hartung and Kirti  Iyengar and Sharad  Iyengar and Kiersten  Israel-Ballard and Noah  Perin and Richard  Anderson,,,,Mobile Video for Patient Education: The Midwives' Perspective,2:1--2:10,2.0,10.0,"health education, mHealth, open data kit, postpartum visits, smartphone, usability, video",10.1145/2442882.2442885,,,,,,,2013.0,,Proceedings of the 3rd ACM Symposium on Computing for Development,ACM DEV '13,,978-1-4503-1856-3,"Bangalore, India",ACM,"New York, NY, USA",computing usability education
40,92,article,1822166,David  Cox,,,,"Usability, Engagement &#38; Development of a Digital Usability Laboratory in a Higher Education Environment",269--273,,5.0,"HCI, analysis, computer, engagement, evaluation, human, interaction, lab, laboratory, participant, recording, usability, user",10.1145/1822090.1822166,,,,,,,2010.0,,Proceedings of the Fifteenth Annual Conference on Innovation and Technology in Computer Science Education,ITiCSE '10,,978-1-60558-820-9,"Bilkent, Ankara, Turkey",ACM,"New York, NY, USA",computing usability education
41,93,article,3081355,Jagmohan  Chauhan and Yining  Hu and Suranga  Seneviratne and Archan  Misra and Aruna  Seneviratne and Youngki  Lee,,,,BreathPrint: Breathing Acoustics-based User Authentication,278--291,,14.0,"authentication, breathing gestures, security, usability",10.1145/3081333.3081355,,,,,,,2017.0,,"Proceedings of the 15th Annual International Conference on Mobile Systems, Applications, and Services",MobiSys '17,,978-1-4503-4928-4,"Niagara Falls, New York, USA",ACM,"New York, NY, USA",computing usability education
43,95,article,2824824,Benjamin  Xie and Isra  Shabir and Hal  Abelson,,,,Measuring the Usability and Capability of App Inventor to Create Mobile Applications,1--8,,8.0,"Computer Science Education, End-User Programming, Mobile Computing, Quantitative Study, Visual Languages",10.1145/2824823.2824824,,,,,,,2015.0,,Proceedings of the 3rd International Workshop on Programming for Mobile and Touch,PROMOTO 2015,,978-1-4503-3908-7,"Pittsburgh, PA, USA",ACM,"New York, NY, USA",computing usability education
44,99,article,1562917,J. &#193;ngel Vel&#225;zquez-Iturbide and Antonio  P&#233;rez-Carrasco,,,,Active Learning of Greedy Algorithms by Means of Interactive Experimentation,119--123,,5.0,"active learning, greedy algorithms, usability, visualization",10.1145/1595496.1562917,SIGCSE Bull.,September 2009,41,3,,July,2009.0,0097-8418,,,,,,ACM,"New York, NY, USA",computing usability education
46,104,article,1140142,Herman  Koppelman and Betsy  van Dijk,,,,Creating a Realistic Context for Team Projects in HCI,58--62,,5.0,"human-computer interaction, team projects, usability, user-centered design",10.1145/1140123.1140142,SIGCSE Bull.,September 2006,38,3,,June,2006.0,0097-8418,,,,,,ACM,"New York, NY, USA",computing usability education
48,106,article,2814467,Andrius Eimantas Vosylius and Kristina  Lapin,,,,Usability of Educational Websites for Tablet Computers,2:1--2:10,2.0,10.0,"HCI, Usability, education, heuristics, inspection, mobile, touch screen",10.1145/2814464.2814467,,,,,,,2015.0,,"Proceedings of the Mulitimedia, Interaction, Design and Innnovation",MIDI '15,,978-1-4503-3601-7,"Warsaw, Poland",ACM,"New York, NY, USA",computing usability education
49,107,article,961567,Evelyn P. Rozanski and Nan C. Schaller,,,,Integrating Usability Engineering into the Computer Science Curriculum: A Proposal,202--206,,5.0,"HCI, usability engineering lifecycle, user-centered design",10.1145/961290.961567,SIGCSE Bull.,September 2003,35,3,,June,2003.0,0097-8418,,,,,,ACM,"New York, NY, USA",computing usability education
51,110,article,1989626,Lasserre  Patricia,,,,Service Learning: An HCI Experiment,12--16,,5.0,"experience report, service learning, usability, web design",10.1145/1989622.1989626,,,,,,,2011.0,,Proceedings of the 16th Western Canadian Conference on Computing Education,WCCCE '11,,978-1-4503-0792-5,"Prince George, British Columbia, Canada",ACM,"New York, NY, USA",computing usability education
53,114,article,1141549,Marco  S&#225; and Lu&#237;s  Carri&#231;o,,,,Handheld Devices for Cooperative Educational Activities,1145--1149,,5.0,"PDAs, assessment, m-learning, mobility, questionnaires, usability",10.1145/1141277.1141549,,,,,,,2006.0,,Proceedings of the 2006 ACM Symposium on Applied Computing,SAC '06,,1-59593-108-2,"Dijon, France",ACM,"New York, NY, USA",computing usability education
54,115,article,223925,John  Karat and Tom  Dayton,,,,Practical Education for Improving Software Usability,162--169,,8.0,,10.1145/223904.223925,,,,,,,1995.0,,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,CHI '95,,0-201-84705-1,"Denver, Colorado, USA",ACM Press/Addison-Wesley Publishing Co.,"New York, NY, USA",computing usability education
55,117,article,3003764,Christina  Katsini and Marios  Belk and Christos  Fidas and Nikolaos  Avouris and George  Samaras,,,,Security and Usability in Knowledge-based User Authentication: A Review,63:1--63:6,63.0,6.0,"Knowledge-based Authentication, Security Metrics, Usability Metrics, Usable Security",10.1145/3003733.3003764,,,,,,,2016.0,,Proceedings of the 20th Pan-Hellenic Conference on Informatics,PCI '16,,978-1-4503-4789-1,"Patras, Greece",ACM,"New York, NY, USA",computing usability education
56,118,article,1138438,Daryl H. Hepting,,,,Ethics and Usability Testing in Computer Science Education,76--80,,5.0,"ethics, participant pool, research methods, usability testing, user-centered design",10.1145/1138403.1138438,SIGCSE Bull.,June 2006,38,2,,June,2006.0,0097-8418,,,,,,ACM,"New York, NY, USA",computing usability education
57,121,article,2424838,Erin  Friess,,,,Do Usability Evaluators Do What We Think Usability Evaluators Do?,9--13,,5.0,"decision-making, discourse analysis, ethnography, usability and user experience, user-center design",10.1145/2424837.2424838,Commun. Des. Q. Rev,March 2012,13,1,,March,2012.0,2166-1200,,,,,,ACM,"New York, NY, USA",computing usability education
