,type,id,author,editor,advisor,note,title,pages,article_no,num_pages,keywords,doi,journal,issue_date,volume,issue_no,description,month,year,issn,booktitle,acronym,edition,isbn,conf_loc,publisher,publisher_loc,keyword
68,article,2742613,Hamid  Tarmazdi and Rebecca  Vivian and Claudia  Szabo and Katrina  Falkner and Nickolas  Falkner,,,,Using Learning Analytics to Visualise Computer Science Teamwork,165--170,,6.0,"collaboration, computer science education, learning analytics",10.1145/2729094.2742613,,,,,,,2015.0,,Proceedings of the 2015 ACM Conference on Innovation and Technology in Computer Science Education,ITiCSE '15,,978-1-4503-3440-2,"Vilnius, Lithuania",ACM,"New York, NY, USA",computer science education theory
70,article,1140172,Petri  Gerdt and Jorma  Sajaniemi,,,,A Web-based Service for the Automatic Detection of Roles of Variables,178--182,,5.0,"automatic detection of roles, role knowledge consolidation, roles of variables",10.1145/1140124.1140172,,,,,,,2006.0,,Proceedings of the 11th Annual SIGCSE Conference on Innovation and Technology in Computer Science Education,ITICSE '06,,1-59593-055-8,"Bologna, Italy",ACM,"New York, NY, USA",computer science education theory
74,article,1595485,Sujata  Garera and Jorge  Vasconcelos,,,,Challenges in Teaching a Graduate Course in Applied Cryptography,103--107,,5.0,"computer science education, cryptography, security protocols",10.1145/1595453.1595485,SIGCSE Bull.,June 2009,41,2,,June,2009.0,0097-8418,,,,,,ACM,"New York, NY, USA",computer science education theory
78,article,1289311,Charles D. Allison,,,,Practical Computation Theory,141--146,,6.0,,,J. Comput. Sci. Coll.,October 2007,23,1,,October,2007.0,1937-4771,,,,,,Consortium for Computing Sciences in Colleges,USA,computer science education theory
91,article,2133800,Geoffrey L.  Herman and Michael C.  Loui and Lisa  Kaczmarczyk and Craig  Zilles,,,,Describing the What and Why of Students&Rsquo; Difficulties in Boolean Logic,3:1--3:28,3.0,28.0,"Discrete math, concept inventory, digital logic, formal logic, misconceptions",10.1145/2133797.2133800,Trans. Comput. Educ.,March 2012,12,1,,March,2012.0,1946-6226,,,,,,ACM,"New York, NY, USA",computer science education theory
94,article,169461,Robin  Trahan and Susan  Rodger,,,,Simulation and Visualization Tools for Teaching Parallel Merge Sort,237--241,,5.0,,10.1145/169070.169461,,,,,,,1993.0,,Proceedings of the Twenty-fourth SIGCSE Technical Symposium on Computer Science Education,SIGCSE '93,,0-89791-565-8,"Indianapolis, Indiana, USA",ACM,"New York, NY, USA",computer science education theory
101,article,1404527,Geoffrey L. Herman and Lisa  Kaczmarczyk and Michael C. Loui and Craig  Zilles,,,,Proof by Incomplete Enumeration and Other Logical Misconceptions,59--70,,12.0,"concept inventory, digital logic, discrete math, formal logic, misconceptions",10.1145/1404520.1404527,,,,,,,2008.0,,Proceedings of the Fourth International Workshop on Computing Education Research,ICER '08,,978-1-60558-216-0,"Sydney, Australia",ACM,"New York, NY, USA",computer science education theory
105,article,199740,Barry L. Kurtz and Unmesh S. Mayekar and Michael B. O'Neal,,,,Design and Implementation of a Generalized Problem Solving Assistant for Algorithm Development,97--101,,5.0,,10.1145/199688.199740,,,,,,,1995.0,,Proceedings of the Twenty-sixth SIGCSE Technical Symposium on Computer Science Education,SIGCSE '95,,0-89791-693-X,"Nashville, Tennessee, USA",ACM,"New York, NY, USA",computer science education theory
8,article,2591715,Katrina  Falkner and Rebecca  Vivian and Nickolas J.G. Falkner,,,,Identifying Computer Science Self-regulated Learning Strategies,291--296,,6.0,"computer science education, self-regulation strategies",10.1145/2591708.2591715,,,,,,,2014.0,,Proceedings of the 2014 Conference on Innovation &#38; Technology in Computer Science Education,ITiCSE '14,,978-1-4503-2833-3,"Uppsala, Sweden",ACM,"New York, NY, USA",computer science education strategies
13,article,2818321,Nora  Escherle and Dorit  Assaf and Ashok  Basawapatna and Carmine  Maiello and Alexander  Repenning,,,,Launching Swiss Computer Science Education Week,11--16,,6.0,"Broadening participation, cyberlearning, distance learning, multilingualism, national education system",10.1145/2818314.2818321,,,,,,,2015.0,,Proceedings of the Workshop in Primary and Secondary Computing Education,WiPSCE '15,,978-1-4503-3753-3,"London, United Kingdom",ACM,"New York, NY, USA",computer science education strategies
18,article,1121356,Michael R. Wick and Daniel E. Stevenson,,,,On Using Scheme to Introduce Prolog,41--45,,5.0,"computer science education, programming languages, prolog, scheme, teaching strategy",10.1145/1121341.1121356,,,,,,,2006.0,,Proceedings of the 37th SIGCSE Technical Symposium on Computer Science Education,SIGCSE '06,,1-59593-259-3,"Houston, Texas, USA",ACM,"New York, NY, USA",computer science education strategies
19,article,2807715,Olgun  Sadik,,,,Encouraging Women to Become CS Teachers,57--61,,5.0,"Computers science education, gender, teacher education, women",10.1145/2807565.2807715,,,,,,,2015.0,,Proceedings of the Third Conference on GenderIT,GenderIT '15,,978-1-4503-3596-6,"Philadelphia, PA, USA",ACM,"New York, NY, USA",computer science education strategies
22,article,2462478,Karen  Renaud,,,,Introducing Computing Students to Scientific Experimentation,76--81,,6.0,"computing science, coursework, experimentation",10.1145/2462476.2462478,,,,,,,2013.0,,Proceedings of the 18th ACM Conference on Innovation and Technology in Computer Science Education,ITiCSE '13,,978-1-4503-2078-8,"Canterbury, England, UK",ACM,"New York, NY, USA",computer science education strategies
23,article,2247583,Daniela  Damian and Marian  Petre and Mariel  Miller and Allyson F. Hadwin,,,,Instructional Strategies in the EGRET Course: An International Graduate Forum on Becoming a Researcher,41--45,,5.0,"computer science education, computer-supported collaborative learning, instructional design",10.1145/2247569.2247583,,,,,,,2012.0,,Proceedings of the Seventeenth Western Canadian Conference on Computing Education,WCCCE '12,,978-1-4503-1407-7,"Vancouver, British Columbia, Canada",ACM,"New York, NY, USA",computer science education strategies
24,article,1822167,Ulrich  Kiesmueller and Sebastian  Sossalla and Torsten  Brinda and Korbinian  Riedhammer,,,,Online Identification of Learner Problem Solving Strategies Using Pattern Recognition Methods,274--278,,5.0,"algorithms, computer science education, pattern recognition, problem solving strategies, secondary education, tool-based analysis",10.1145/1822090.1822167,,,,,,,2010.0,,Proceedings of the Fifteenth Annual Conference on Innovation and Technology in Computer Science Education,ITiCSE '10,,978-1-60558-820-9,"Bilkent, Ankara, Turkey",ACM,"New York, NY, USA",computer science education strategies
27,article,3017730,J. Michael Fitzpatrick and &#193;kos  L&#233;deczi and Gayathri  Narasimham and Lee  Lafferty and R&#233;al  Labrie and Paul T. Mielke and Aatish  Kumar and Katherine A. Brady,,,,Lessons Learned in the Design and Delivery of an Introductory Programming MOOC,219--224,,6.0,"MATLAB, MOOC, computer programming, computer science education",10.1145/3017680.3017730,,,,,,,2017.0,,Proceedings of the 2017 ACM SIGCSE Technical Symposium on Computer Science Education,SIGCSE '17,,978-1-4503-4698-6,"Seattle, Washington, USA",ACM,"New York, NY, USA",computer science education strategies
28,article,2858252,Dastyni  Loksa and Andrew J. Ko and Will  Jernigan and Alannah  Oleson and Christopher J. Mendez and Margaret M. Burnett,,,,"Programming, Problem Solving, and Self-Awareness: Effects of Explicit Guidance",1449--1461,,13.0,"computer science education, metacognition, problem-solving, programming",10.1145/2858036.2858252,,,,,,,2016.0,,Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems,CHI '16,,978-1-4503-3362-7,"San Jose, California, USA",ACM,"New York, NY, USA",computer science education strategies
29,article,2538965,Claudia  Szabo,,,,Student Projects Are Not Throwaways: Teaching Practical Software Maintenance in a Software Engineering Course,55--60,,6.0,"computer science education, software engineering, software maintenance",10.1145/2538862.2538965,,,,,,,2014.0,,Proceedings of the 45th ACM Technical Symposium on Computer Science Education,SIGCSE '14,,978-1-4503-2605-6,"Atlanta, Georgia, USA",ACM,"New York, NY, USA",computer science education strategies
40,article,2576872,Aman  Yadav and Chris  Mayfield and Ninger  Zhou and Susanne  Hambrusch and John T.  Korb,,,,Computational Thinking in Elementary and Secondary Teacher Education,5:1--5:16,5.0,16.0,"Computational thinking, teacher education, teaching/learning strategies",10.1145/2576872,Trans. Comput. Educ.,March 2014,14,1,,March,2014.0,1946-6226,,,,,,ACM,"New York, NY, USA",computer science education strategies
42,article,1806515,Veronica  Dahl and Diana  Cukierman and Gemma  Bel-Enguix and M. Dolores Jim&#233;nez-Lopez,,,,Logic Programming: Teaching Strategies for Students with No Programming Background,2:1--2:5,2.0,5.0,"computer and information science education, computers and education, humanities, literacy, logic programming",10.1145/1806512.1806515,,,,,,,2010.0,,Proceedings of the 15th Western Canadian Conference on Computing Education,WCCCE '10,,978-1-4503-0098-8,"Kelowna, British Columbia, Canada",ACM,"New York, NY, USA",computer science education strategies
46,article,2844604,Robert  Deloatch and Brian P. Bailey and Alex  Kirlik,,,,Measuring Effects of Modality on Perceived Test Anxiety for Computer Programming Exams,291--296,,6.0,"computer-based testing, programming-centric exam, test anxiety",10.1145/2839509.2844604,,,,,,,2016.0,,Proceedings of the 47th ACM Technical Symposium on Computing Science Education,SIGCSE '16,,978-1-4503-3685-7,"Memphis, Tennessee, USA",ACM,"New York, NY, USA",computer science education strategies
47,article,1631745,Christopher  Connolly and Gabriele  Meiselwitz,,,,Integrating Software Engineering in Computer Programming Education,50--54,,5.0,"computer science curriculum, information science curriculum, software engineering",10.1145/1631728.1631745,,,,,,,2009.0,,Proceedings of the 10th ACM Conference on SIG-information Technology Education,SIGITE '09,,978-1-60558-765-3,"Fairfax, Virginia, USA",ACM,"New York, NY, USA",computer science education strategies
48,article,1862725,Katrina  Falkner and David S. Munro,,,,Easing the Transition: A Collaborative Learning Approach,65--74,,10.0,"CS1, collaborative learning, computer science education, transition",,,,,,,,2009.0,,Proceedings of the Eleventh Australasian Conference on Computing Education - Volume 95,ACE '09,,978-1-920682-76-7,"Wellington, New Zealand","Australian Computer Society, Inc.","Darlinghurst, Australia, Australia",computer science education strategies
52,article,352492,Taras  Vintsiuk,,,,Pattern Computer (Abstract Only),5--14,,10.0,"computer science, pattern computer",10.1145/352491.352492,,,,,,,2000.0,,Proceedings of the Symposium on Contemporary Computing in Ukraine,CCU '00,,1-58113-310-3,"Lviv, Ukraine",ACM,"New York, NY, USA",computer science education strategies
54,article,2677296,Samantha  Krieger and Meghan  Allen and Catherine  Rawn,,,,Are Females Disinclined to Tinker in Computer Science?,102--107,,6.0,"computer science education, gender, programming, tinkering",10.1145/2676723.2677296,,,,,,,2015.0,,Proceedings of the 46th ACM Technical Symposium on Computer Science Education,SIGCSE '15,,978-1-4503-2966-8,"Kansas City, Missouri, USA",ACM,"New York, NY, USA",computer science education strategies
56,article,2382397,Yinghui  Shi and Zongkai  Yang and Harrison Hao Yang and Sanya  Liu,,,,The Impact of Interactive Whiteboards on Education,213--218,,6.0,"instructional effectiveness, interactive whiteboards, language teaching and learning, mathematics education, science education, teaching strategies and methods",10.1145/2382336.2382397,,,,,,,2012.0,,Proceedings of the 4th International Conference on Internet Multimedia Computing and Service,ICIMCS '12,,978-1-4503-1600-2,"Wuhan, China",ACM,"New York, NY, USA",computer science education strategies
57,article,2723624,Marcelo  Worsley and Paulo  Blikstein,,,,Leveraging Multimodal Learning Analytics to Differentiate Student Learning Strategies,360--367,,8.0,"computational, constructionist, data mining, learning sciences",10.1145/2723576.2723624,,,,,,,2015.0,,Proceedings of the Fifth International Conference on Learning Analytics And Knowledge,LAK '15,,978-1-4503-3417-4,"Poughkeepsie, New York",ACM,"New York, NY, USA",computer science education strategies
58,article,2666637,Marcelo  Worsley and Paulo  Blikstein,,,,Deciphering the Practices and Affordances of Different Reasoning Strategies Through Multimodal Learning Analytics,21--27,,7.0,"computational, constructionist, data mining, learning sciences",10.1145/2666633.2666637,,,,,,,2014.0,,Proceedings of the 2014 ACM Workshop on Multimodal Learning Analytics Workshop and Grand Challenge,MLA '14,,978-1-4503-0488-7,"Istanbul, Turkey",ACM,"New York, NY, USA",computer science education strategies
59,article,2677288,Diana  Franklin and Charlotte  Hill and Hilary  Dwyer and Ashley  Iveland and Alexandria  Killian and Danielle  Harlow,,,,Getting Started in Teaching and Researching Computer Science in the Elementary Classroom,552--557,,6.0,"computer science education, curriculum, k-12, outreach",10.1145/2676723.2677288,,,,,,,2015.0,,Proceedings of the 46th ACM Technical Symposium on Computer Science Education,SIGCSE '15,,978-1-4503-2966-8,"Kansas City, Missouri, USA",ACM,"New York, NY, USA",computer science education strategies
69,article,2538970,Marisa  Exter,,,,Comparing Educational Experiences and On-the-job Needs of Educational Software Designers,355--360,,6.0,"computer science education, computing education, curriculum, informal education, non-formal education, pedagogy",10.1145/2538862.2538970,,,,,,,2014.0,,Proceedings of the 45th ACM Technical Symposium on Computer Science Education,SIGCSE '14,,978-1-4503-2605-6,"Atlanta, Georgia, USA",ACM,"New York, NY, USA",computer science education strategies
98,article,1352784,Suresh K.  Bhavnani and Frederick A.  Peck and Frederick  Reif,,,,Strategy-Based Instruction: Lessons Learned in Teaching the Effective and Efficient Use of Computer Applications,2:1--2:43,2.0,43.0,"Strategies, strategy-based instruction, teaching, training",10.1145/1352782.1352784,ACM Trans. Comput.-Hum. Interact.,May 2008,15,1,,May,2008.0,1073-0516,,,,,,ACM,"New York, NY, USA",computer science education strategies
102,article,2844632,Aaron  Bloomfield and Borja  Sotomayor,,,,A Programming Contest Strategy Guide,609--614,,6.0,"icpc, programming contest, strategy",10.1145/2839509.2844632,,,,,,,2016.0,,Proceedings of the 47th ACM Technical Symposium on Computing Science Education,SIGCSE '16,,978-1-4503-3685-7,"Memphis, Tennessee, USA",ACM,"New York, NY, USA",computer science education strategies
108,article,1999819,Angela  Carbone and Jessica  Wong and Jason  Ceddia,,,,A Scheme for Improving ICT Units with Critically Low Student Satisfaction,253--257,,5.0,"action research, education quality in ict, ict education, teaching strategy",10.1145/1999747.1999819,,,,,,,2011.0,,Proceedings of the 16th Annual Joint Conference on Innovation and Technology in Computer Science Education,ITiCSE '11,,978-1-4503-0697-3,"Darmstadt, Germany",ACM,"New York, NY, USA",computer science education strategies
110,article,2037282,Teresa  Dahlberg and Tiffany  Barnes and Kim  Buch and Audrey  Rorrer,,,,The STARS Alliance: Viable Strategies for Broadening Participation in Computing,18:1--18:25,18.0,25.0,"BPC, Broadening participation in computing, computing curricula, education, service-learning",10.1145/2037276.2037282,Trans. Comput. Educ.,October 2011,11,3,,October,2011.0,1946-6226,,,,,,ACM,"New York, NY, USA",computer science education strategies
113,article,1594402,Ulrich  Kiesm&#252;ller,,,,Diagnosing Learners&Rsquo; Problem-Solving Strategies Using Learning Environments with Algorithmic Problems in Secondary Education,17:1--17:26,17.0,26.0,"Kara, Secondary computer science education, algorithms, didactics of informatics, problem solving process, tool-based analysis",10.1145/1594399.1594402,Trans. Comput. Educ.,September 2009,9,3,,September,2009.0,1946-6226,,,,,,ACM,"New York, NY, USA",computer science education strategies
115,article,2445210,Ivona  Bezakova and James E. Heliotis and Sean P. Strout,,,,Board Game Strategies in Introductory Computer Science,17--22,,6.0,"basic data structures and algorithms, introductory computer science, learning in context, open-ended project",10.1145/2445196.2445210,,,,,,,2013.0,,Proceeding of the 44th ACM Technical Symposium on Computer Science Education,SIGCSE '13,,978-1-4503-1868-6,"Denver, Colorado, USA",ACM,"New York, NY, USA",computer science education strategies
123,article,1658652,Brian J. Reiser,,,,Why Scaffolding Should Sometimes Make Tasks More Difficult for Learners,255--264,,10.0,"interactive learning environments, scaffolding, science education",,,,,,,,2002.0,,Proceedings of the Conference on Computer Support for Collaborative Learning: Foundations for a CSCL Community,CSCL '02,,,"Boulder, Colorado",International Society of the Learning Sciences,,computer science education strategies
18,article,2602483,Judith  Gal-Ezer and Chris  Stephenson,,,,A Tale of Two Countries: Successes and Challenges in K-12 Computer Science Education in Israel and the United States,8:1--8:18,8.0,18.0,"Computer science, computer science educators, computer science teachers",10.1145/2602483,Trans. Comput. Educ.,June 2014,14,2,,June,2014.0,1946-6226,,,,,,ACM,"New York, NY, USA",computer science accessibility education
25,article,2999553,Natalie  Culligan and Keith  Quille and Susan  Bergin,,,,VEAP: A Visualisation Engine and Analyzer for preSS#,130--134,,5.0,"computer science, data visualization, education, educational tools",10.1145/2999541.2999553,,,,,,,2016.0,,Proceedings of the 16th Koli Calling International Conference on Computing Education Research,Koli Calling '16,,978-1-4503-4770-9,"Koli, Finland",ACM,"New York, NY, USA",computer science accessibility education
29,article,1227473,Ken  Wong and Tilman  Wolf and Sergey  Gorinsky and Jonathan  Turner,,,,Teaching Experiences with a Virtual Network Laboratory,481--485,,5.0,"education, experimental computer science, laboratory",10.1145/1227310.1227473,,,,,,,2007.0,,Proceedings of the 38th SIGCSE Technical Symposium on Computer Science Education,SIGCSE '07,,1-59593-361-1,"Covington, Kentucky, USA",ACM,"New York, NY, USA",computer science accessibility education
32,article,980002,Kris D. Powers,,,,Teaching Computer Architecture in Introductory Computing: Why? And How?,255--260,,6.0,"active learning, computer architecture, computer science education",,,,,,,,2004.0,,Proceedings of the Sixth Australasian Conference on Computing Education - Volume 30,ACE '04,,,"Dunedin, New Zealand","Australian Computer Society, Inc.","Darlinghurst, Australia, Australia",computer science accessibility education
35,article,2381102,Jane  Margolis and Jean J. Ryoo and Cueponcaxochitl D. M. Sandoval and Clifford  Lee and Joanna  Goode and Gail  Chapman,,,,Beyond Access: Broadening Participation in High School Computer Science,72--78,,7.0,"Computer Science education, broadening participation, cultural relevance, equity, exploring Computer Science, pedagogy",10.1145/2381083.2381102,ACM Inroads,December 2012,3,4,,December,2012.0,2153-2184,,,,,,ACM,"New York, NY, USA",computer science accessibility education
37,article,1352233,Orit  Hazzan and Judith  Gal-Ezer and Lenore  Blum,,,,A Model for High School Computer Science Education: The Four Key Elements That Make It!,281--285,,5.0,"computer science education, computer science education research, curriculum, teacher preparation programs, teaching certificate",10.1145/1352322.1352233,SIGCSE Bull.,March 2008,40,1,,March,2008.0,0097-8418,,,,,,ACM,"New York, NY, USA",computer science accessibility education
40,article,1352245,Mark W. Bailey and Clark L. Coleman and Jack W. Davidson,,,,Defense Against the Dark Arts,315--319,,5.0,"anti-virus software, compilers, computer science education, computer viruses",10.1145/1352135.1352245,,,,,,,2008.0,,Proceedings of the 39th SIGCSE Technical Symposium on Computer Science Education,SIGCSE '08,,978-1-59593-799-5,"Portland, OR, USA",ACM,"New York, NY, USA",computer science accessibility education
48,article,2335850,Rubin H. Landau and Manuel J. Paez and Cristian C. Bordeianu,,,,"A Blended, Multimodal Access eTextBook in Computational Physics",52:1--52:7,52.0,7.0,"blended, computational physics, computational science, eBooks, education, executable paper, multimodal",10.1145/2335755.2335850,,,,,,,2012.0,,Proceedings of the 1st Conference of the Extreme Science and Engineering Discovery Environment: Bridging from the eXtreme to the Campus and Beyond,XSEDE '12,,978-1-4503-1602-6,"Chicago, Illinois, USA",ACM,"New York, NY, USA",computer science accessibility education
49,article,3091511,Elisabeth  Coskun and Su  White,,,,Web Science: Mapping the Curriculum,241--245,,5.0,"education, web science, web science curriculum",10.1145/3091478.3091511,,,,,,,2017.0,,Proceedings of the 2017 ACM on Web Science Conference,WebSci '17,,978-1-4503-4896-6,"Troy, New York, USA",ACM,"New York, NY, USA",computer science accessibility education
50,article,1734325,Rafael  del Vado V&#237;rseda,,,,A Visualization Tool for Tutoring the Interactive Learning of Data Structures and Algorithmic Schemes.,187--191,,5.0,"algorithmic schemes, computer science education, data structures",10.1145/1734263.1734325,,,,,,,2010.0,,Proceedings of the 41st ACM Technical Symposium on Computer Science Education,SIGCSE '10,,978-1-4503-0006-3,"Milwaukee, Wisconsin, USA",ACM,"New York, NY, USA",computer science accessibility education
63,article,1121376,John  DeHart and Fred  Kuhns and Jyoti  Parwatikar and Jonathan  Turner and Charlie  Wiseman and Ken  Wong,,,,The Open Network Laboratory,107--111,,5.0,"education, experimental computer science, real-time displays",10.1145/1124706.1121376,SIGCSE Bull.,March 2006,38,1,,March,2006.0,0097-8418,,,,,,ACM,"New York, NY, USA",computer science accessibility education
66,article,1858454,Charles  Peck,,,,LittleFe: Parallel and Distributed Computing Education on the Move,16--22,,7.0,"computational science education, computer science education, outreach, portable cluster, undergraduate curriculum",,J. Comput. Sci. Coll.,October 2010,26,1,,October,2010.0,1937-4771,,,,,,Consortium for Computing Sciences in Colleges,USA,computer science accessibility education
67,article,2157190,Pierluigi  Crescenzi and Leonardo  Rossi and Gianluca  Apollaro,,,,Making Turing Machines Accessible to Blind Students,167--172,,6.0,"computability, software accessibility, turing machines",10.1145/2157136.2157190,,,,,,,2012.0,,Proceedings of the 43rd ACM Technical Symposium on Computer Science Education,SIGCSE '12,,978-1-4503-1098-7,"Raleigh, North Carolina, USA",ACM,"New York, NY, USA",computer science accessibility education
70,article,1352257,Leigh Ann  Sudol,,,,Forging Connections Between Life and Class Using Reading Assignments: A Case Study,357--361,,5.0,"communication skills, computer science education, ethical/societal issues, women in computing",10.1145/1352135.1352257,,,,,,,2008.0,,Proceedings of the 39th SIGCSE Technical Symposium on Computer Science Education,SIGCSE '08,,978-1-59593-799-5,"Portland, OR, USA",ACM,"New York, NY, USA",computer science accessibility education
84,article,1999758,Elaine  Pearson and Chrstopher  Bailey and Steve  Green,,,,A Tool to Support the Web Accessibility Evaluation Process for Novices,28--32,,5.0,"accessibility education., web accessibility evaluation, web accessibility guidelines",10.1145/1999747.1999758,,,,,,,2011.0,,Proceedings of the 16th Annual Joint Conference on Innovation and Technology in Computer Science Education,ITiCSE '11,,978-1-4503-0697-3,"Darmstadt, Germany",ACM,"New York, NY, USA",computer science accessibility education
86,article,1268810,Andr&#233; Pimenta Freire and Renata Pontin de Mattos Fortes and Debora Maria Barroso Paiva and Marcelo Augusto Santos Turine,,,,Using Screen Readers to Reinforce Web Accessibility Education,82--86,,5.0,"assistive technology, education, web accessibility",10.1145/1268784.1268810,,,,,,,2007.0,,Proceedings of the 12th Annual SIGCSE Conference on Innovation and Technology in Computer Science Education,ITiCSE '07,,978-1-59593-610-3,"Dundee, Scotland",ACM,"New York, NY, USA",computer science accessibility education
91,article,1352142,Irene  Polycarpou and Ana  Pasztor and Malek  Adjouadi,,,,A Conceptual Approach to Teaching Induction for Computer Science,9--13,,5.0,"computer science education, induction principle, inductive sets, logic for computer science, proofs by induction, undergraduate computer science curricula",10.1145/1352135.1352142,,,,,,,2008.0,,Proceedings of the 39th SIGCSE Technical Symposium on Computer Science Education,SIGCSE '08,,978-1-59593-799-5,"Portland, OR, USA",ACM,"New York, NY, USA",computer science accessibility education
92,article,2445266,Suzanne P. Balik and Sean P. Mealin and Matthias F. Stallmann and Robert D. Rodman,,,,GSK: Universally Accessible Graph Sketching,221--226,,6.0,"accessibility, computational equivalence, universal design",10.1145/2445196.2445266,,,,,,,2013.0,,Proceeding of the 44th ACM Technical Symposium on Computer Science Education,SIGCSE '13,,978-1-4503-1868-6,"Denver, Colorado, USA",ACM,"New York, NY, USA",computer science accessibility education
104,article,1352218,Andrew  Begel and Beth  Simon,,,,Struggles of New College Graduates in Their First Software Development Job,226--230,,5.0,"computer science education, human aspects of software engineering, software development",10.1145/1352135.1352218,,,,,,,2008.0,,Proceedings of the 39th SIGCSE Technical Symposium on Computer Science Education,SIGCSE '08,,978-1-59593-799-5,"Portland, OR, USA",ACM,"New York, NY, USA",computer science accessibility education
107,article,1352246,Blair  Taylor and Shiva  Azadegan,,,,Moving Beyond Security Tracks: Integrating Security in Cs0 and Cs1,320--324,,5.0,"computer science curriculum, information security curriculum development, security education",10.1145/1352135.1352246,,,,,,,2008.0,,Proceedings of the 39th SIGCSE Technical Symposium on Computer Science Education,SIGCSE '08,,978-1-59593-799-5,"Portland, OR, USA",ACM,"New York, NY, USA",computer science accessibility education
125,article,2513444,John R. Porter and Julie A. Kientz,,,,An Empirical Study of Issues and Barriers to Mainstream Video Game Accessibility,3:1--3:8,3.0,8.0,"access technology, accessibility, video games",10.1145/2513383.2513444,,,,,,,2013.0,,Proceedings of the 15th International ACM SIGACCESS Conference on Computers and Accessibility,ASSETS '13,,978-1-4503-2405-2,"Bellevue, Washington",ACM,"New York, NY, USA",computer science accessibility education
130,article,1969295,N&#225;dia  Fernandes and Rui  Lopes and Lu&#237;s  Carri&#231;o,,,,On Web Accessibility Evaluation Environments,4:1--4:10,4.0,10.0,"automated evaluation, web accessibility, web accessibility evaluation environments, web science",10.1145/1969289.1969295,,,,,,,2011.0,,Proceedings of the International Cross-Disciplinary Conference on Web Accessibility,W4A '11,,978-1-4503-0476-4,"Hyderabad, Andhra Pradesh, India",ACM,"New York, NY, USA",computer science accessibility education
143,article,1089734,Caitlin  Kelleher and Randy  Pausch,,,,Lowering the Barriers to Programming: A Taxonomy of Programming Environments and Languages for Novice Programmers,83--137,,55.0,"Human-computer interaction, computer Science education, learning, literacy, problem solving",10.1145/1089733.1089734,ACM Comput. Surv.,June 2005,37,2,,June,2005.0,0360-0300,,,,,,ACM,"New York, NY, USA",computer science accessibility education
145,article,2461122,N&#225;dia  Fernandes and Ana Sofia Batista and Daniel  Costa and Carlos  Duarte and Lu&#237;s  Carri&#231;o,,,,Three Web Accessibility Evaluation Perspectives for RIA,12:1--12:9,12.0,9.0,"automated evaluation, web accessibility, web browser processing, web science",10.1145/2461121.2461122,,,,,,,2013.0,,Proceedings of the 10th International Cross-Disciplinary Conference on Web Accessibility,W4A '13,,978-1-4503-1844-0,"Rio de Janeiro, Brazil",ACM,"New York, NY, USA",computer science accessibility education
18,article,77482,CORPORATE  Computer Science and Technology Board,,,,Scaling Up: A Research Agenda for Software Engineering,281--293,,13.0,,10.1145/77481.77482,Commun. ACM,March 1990,33,3,,March,1990.0,0001-0782,,,,,,ACM,"New York, NY, USA",computer science usability education
25,article,2160548,G. Michael  Poor and Laura M.  Leventhal and Julie  Barnes and Duke R.  Hutchings and Paul  Albee and Laura  Campbell,,,,No User Left Behind: Including Accessibility in Student Projects and the Impact on CS Students&Rsquo; Attitudes,5:1--5:22,5.0,22.0,"Usability, accessibility, computer science education",10.1145/2160547.2160548,Trans. Comput. Educ.,April 2012,12,2,,April,2012.0,1946-6226,,,,,,ACM,"New York, NY, USA",computer science usability education
26,article,3025673,Elissa M. Redmiles and Sean  Kross and Michelle L. Mazurek,,,,"Where is the Digital Divide?: A Survey of Security, Privacy, and Socioeconomics",931--936,,6.0,"computer science education, digital divide, usable security",10.1145/3025453.3025673,,,,,,,2017.0,,Proceedings of the 2017 CHI Conference on Human Factors in Computing Systems,CHI '17,,978-1-4503-4655-9,"Denver, Colorado, USA",ACM,"New York, NY, USA",computer science usability education
27,article,1822094,Johan  Aberg,,,,Challenges with Teaching HCI Early to Computer Students,3--7,,5.0,"education, human-computer interaction, usability, usable systems",10.1145/1822090.1822094,,,,,,,2010.0,,Proceedings of the Fifteenth Annual Conference on Innovation and Technology in Computer Science Education,ITiCSE '10,,978-1-60558-820-9,"Bilkent, Ankara, Turkey",ACM,"New York, NY, USA",computer science usability education
29,article,2534972,J. &#193;ngel  Vel&#225;zquez-Iturbide,,,,An Experimental Method for the Active Learning of Greedy Algorithms,18:1--18:23,18.0,23.0,"Computer science education, active learning, greedy algorithms, misconceptions, usability, visualization",10.1145/2534972,Trans. Comput. Educ.,November 2013,13,4,,November,2013.0,1946-6226,,,,,,ACM,"New York, NY, USA",computer science usability education
30,article,2325311,J. &#193;ngel Vel&#225;zquez-Iturbide,,,,"Refinement of an Experimental Approach Tocomputer-based, Active Learning of Greedy Algorithms",46--51,,6.0,"active learning, computer science education, greedy algorithms, misconceptions, usability, visualization",10.1145/2325296.2325311,,,,,,,2012.0,,Proceedings of the 17th ACM Annual Conference on Innovation and Technology in Computer Science Education,ITiCSE '12,,978-1-4503-1246-2,"Haifa, Israel",ACM,"New York, NY, USA",computer science usability education
